rho[g/cm^3]	U[kJ/kg]	P[GPa]	T[K]
19.240825390756285	-11391.874267620042	1117.882305732913	300.0
19.65910499200654	-10106.89893895866	1202.058961461751	300.0
20.095981286971785	-8725.084304594106	1294.077735022015	300.0
20.552702434347456	-7236.453747979337	1393.5950210749131	300.0
21.03067322217541	-5634.087035981963	1500.130704771576	300.0
21.531404570696232	-3907.014145169396	1618.4210583681815	300.0
22.056554116294688	-2042.7932772825118	1746.85500195262	300.0
22.60797304903572	-29.825595962893452	1888.4527706437584	300.0
23.18766155115147	2147.9500736899486	2041.8169586379177	300.0
23.797859806195966	4502.865046952165	2210.4978309406024	300.0
24.44105110965088	7056.680717278292	2398.46682747258	300.0
25.11997560037134	9827.563078614243	2617.2792504159347	300.0
25.837680150907566	12837.601682506933	2817.269721437048	300.0
26.07892506415218	13855.490927548848	2875.639011764686	300.0
26.392179926014105	15189.499677484158	2980.804305749881	300.0
26.71305749350364	16571.265182168918	3087.8902579528667	300.0
27.041839428415162	18002.814804987356	3201.3898334030737	300.0
27.37879748544967	19486.96844865808	3317.5681711350685	300.0
27.724277335529003	21024.160758091282	3433.9949130934983	300.0
28.07858119924184	22616.97844634119	3562.9074992796905	300.0
28.442051515106378	24270.964705005434	3702.022347635626	300.0
28.815075209020222	25987.94027070133	3837.971860527765	300.0
29.197986262745165	27768.165248674206	3984.52112098877	300.0
29.59123203825824	29618.608766650068	4140.728152963289	300.0
29.99520071367258	31539.767410561937	4299.77637853494	300.0
30.41036648914428	33535.96259435349	4468.150923931508	300.0
30.83717865039543	35609.687590673726	4639.838792191044	300.0
31.27612641621626	37763.62255296543	4820.551416284904	300.0
31.727783087951977	40003.7329765491	5019.486438100082	300.0
32.19265903063259	42336.120109814176	5220.782842844916	300.0
32.671343223097075	44761.10118002446	5434.900192787231	300.0
33.16451288816112	47288.870478811376	5663.591681652284	300.0
33.672772225547014	49920.21396354607	5894.061309077526	300.0
34.19686192243699	52661.56162835498	6145.969283178056	300.0
34.73752362095319	55521.70956696957	6413.453885068542	300.0
35.29554601795656	58505.76456308504	6693.230774993388	300.0
35.87182006270489	61621.339366774686	6987.460713113114	300.0
36.467213593704166	64874.662987099866	7299.418951448502	300.0
37.08268318718437	68275.7331969311	7635.703836768976	300.0
37.719284406534534	71834.5012252156	7989.16048115763	300.0
38.37814810202051	75560.0691096283	8370.008428322342	300.0
39.060414100216455	79467.27142853639	8781.53897415587	300.0
39.76741496752101	83568.96887536801	9226.569213445404	300.0
40.50044200627971	87882.7023923139	9709.126064133256	300.0
41.26098648209979	92424.01482438177	10229.127247854609	300.0
42.05068403144776	97212.52678026071	10790.839476615918	300.0
42.87118490223017	102265.86606055853	11393.966133577174	300.0
